0	0.1
0.1	0.25
0.2	0.5
0.3	0.75
0.4	1
0.5	1.25
0.6	1.5
0.7	1.75
0.8	2
0.9	2.25
1	2.5
1.1	2.75
1.2	3.15
1.3	3.3
1.4	3.5
1.5	3.75
1.6	3.9
1.7	4.25
1.8	4.5
1.9	4.75
2	5
2.1	5.25
2.2	5.5
2.3	5.75
2.4	6.15
2.5	6.25
2.6	6.55
2.7	6.75
2.8	7
2.9	7.25
3	7.5
3.1	7.75
3.2	7.9
3.3	8.25
3.4	8.5
3.5	8.75
3.6	9.15
3.7	9.25
3.8	9.5
3.9	9.8
4	10
4.1	10.25
4.2	10.5
4.3	10.75
4.4	11
4.5	11.25
4.6	11.5
4.7	11.75
4.8	12.05
4.9	12.25
5	12.5
5.1	12.75
5.2	13.05
5.3	13.25
5.4	13.5
5.5	13.75
5.6	14
5.7	14.25
5.8	14.5
5.9	14.75
6	15.15
6.1	15.25
6.2	15.5
6.3	15.75
6.4	15.9
6.5	16.3
6.6	16.5
6.7	16.75
6.8	17
6.9	17.25
7	17.5
7.1	17.75
7.2	18.15
7.3	18.25
7.4	18.5
7.5	18.75
7.6	19
7.7	19.25
7.8	19.55
7.9	19.75
8	19.9
8.1	20.25
8.2	20.5
8.3	20.75
8.4	21.15
8.5	21.25
8.6	21.5
8.7	21.75
8.8	22
8.9	22.25
9	22.5
9.1	22.8
9.2	23
9.3	23.25
9.4	23.5
9.5	23.75
9.6	24.05
9.7	24.25
9.8	24.5
9.9	24.75
10	25
10.1	25.25
10.2	25.5
10.3	25.75
10.4	26.05
10.5	26.25
10.6	26.5
10.7	26.75
10.8	27.15
10.9	27.25
11	27.5
11.1	27.75
11.2	27.9
11.3	28.25
11.4	28.5
11.5	28.75
11.6	29
11.7	29.3
11.8	29.5
11.9	29.75
12	30.15
12.1	30.25
12.2	30.5
12.3	30.75
12.4	31
12.5	31.25
12.6	31.5
12.7	31.75
12.8	31.9
12.9	32.25
13	32.55
13.1	32.75
13.2	33.15
13.3	33.25
13.4	33.5
13.5	33.75
13.6	34
13.7	34.25
13.8	34.5
13.9	34.75
14	35
14.1	35.25
14.2	35.5
14.3	35.8
14.4	36.05
14.5	36.25
14.6	36.5
14.7	36.75
14.8	37
14.9	37.25
15	37.5
15.1	37.75
15.2	38
15.3	38.25
15.4	38.5
15.5	38.75
15.6	39.2
15.7	39.25
15.8	39.5
15.9	39.75
16	39.9
16.1	40.25
16.2	40.5
16.3	40.75
16.4	41
16.5	41.25
16.6	41.5
16.7	41.75
16.8	42.15
16.9	42.3
17	42.5
17.1	42.75
17.2	43
17.3	43.25
17.4	43.5
17.5	43.75
17.6	43.9
17.7	44.25
17.8	44.5
17.9	44.75
18	45.15
18.1	45.25
18.2	45.55
